0.395,0.605
0.45,0.55
0.5,0.5
0.495,0.505
0.395,0.605
0.42,0.58
0.51,0.49
0.43,0.57
0.415,0.585
0.5,0.5
0.43,0.57
0.55,0.45
0.5,0.5
0.39,0.61
0.455,0.545
0.425,0.575
0.64,0.36
0.5,0.5
0.45,0.55
0.55,0.45
0.425,0.575
0.445,0.555
0.555,0.445
0.505,0.495
0.445,0.555
0.5,0.5
0.56,0.44
0.44,0.56
0.5,0.5
0.5,0.5
0.5,0.5
0.525,0.475
0.5,0.5
0.46,0.54
0.435,0.565
0.42,0.58
0.435,0.565
0.41,0.59
0.425,0.575
0.54,0.46
0.425,0.575
0.515,0.485
0.445,0.555
0.5,0.5
0.52,0.48
0.435,0.565
0.5,0.5
0.535,0.465
0.405,0.595
0.45,0.55
0.635,0.365
0.42,0.58
0.435,0.565
0.505,0.495
0.5,0.5
0.515,0.485
0.45,0.55
0.48,0.52
0.425,0.575
0.43,0.57
0.43,0.57
0.425,0.575
0.5,0.5
0.405,0.595
0.54,0.46
0.5,0.5
0.455,0.545
0.45,0.55
0.5,0.5
0.5,0.5
0.43,0.57
0.49,0.51
0.53,0.47
0.585,0.415
0.42,0.58
0.44,0.56
0.5,0.5
0.425,0.575
0.425,0.575
0.5,0.5
0.465,0.535
0.435,0.565
0.425,0.575
0.725,0.275
0.425,0.575
0.515,0.485
0.5,0.5
0.5,0.5
0.515,0.485
0.435,0.565
0.43,0.57
0.58,0.42
0.515,0.485
0.44,0.56
0.42,0.58
0.435,0.565
0.505,0.495
0.38,0.62
0.415,0.585
0.525,0.475
0.42,0.58
0.535,0.465
0.385,0.615
0.515,0.485
0.385,0.615
0.47,0.53
0.43,0.57
0.5,0.5
0.44,0.56
0.465,0.535
0.46,0.54
0.445,0.555
0.5,0.5
0.5,0.5
0.5,0.5
0.425,0.575
0.5,0.5
0.5,0.5
0.5,0.5
0.385,0.615
0.425,0.575
0.53,0.47
0.56,0.44
0.45,0.55
0.5,0.5
0.43,0.57
0.4,0.6
0.41,0.59
0.45,0.55
0.455,0.545
0.535,0.465
0.405,0.595
0.5,0.5
0.43,0.57
0.415,0.585
0.505,0.495
0.515,0.485
0.425,0.575
0.425,0.575
0.425,0.575
0.465,0.535
0.5,0.5
0.525,0.475
0.7,0.3
0.465,0.535
0.395,0.605
0.5,0.5
0.39,0.61
0.4,0.6
0.42,0.58
0.425,0.575
0.515,0.485
0.435,0.565
0.5,0.5
0.42,0.58
0.385,0.615
0.425,0.575
0.5,0.5
0.41,0.59
0.5,0.5
0.555,0.445
0.41,0.59
0.55,0.45
0.425,0.575
0.565,0.435
0.5,0.5
0.5,0.5
0.51,0.49
0.675,0.325
0.42,0.58
0.675,0.325
0.505,0.495
0.7,0.3
0.46,0.54
0.5,0.5
0.42,0.58
0.53,0.47
0.425,0.575
0.41,0.59
0.525,0.475
0.43,0.57
0.52,0.48
0.5,0.5
0.385,0.615
0.5,0.5
0.445,0.555
0.585,0.415
0.43,0.57
0.425,0.575
0.45,0.55
0.635,0.365
0.66,0.34
0.5,0.5
0.765,0.235
0.425,0.575
0.5,0.5
0.68,0.32
0.5,0.5
0.5,0.5
0.43,0.57
0.44,0.56
0.42,0.58
0.58,0.42
0.425,0.575
0.7,0.3
0.425,0.575
0.415,0.585
0.5,0.5
0.42,0.58
0.435,0.565
0.5,0.5
0.425,0.575
0.45,0.55
0.4,0.6
0.5,0.5
0.435,0.565
0.605,0.395
0.415,0.585
0.595,0.405
0.43,0.57
0.5,0.5
0.445,0.555
0.425,0.575
0.43,0.57
0.455,0.545
0.63,0.37
0.42,0.58
0.45,0.55
0.6,0.4
0.52,0.48
0.44,0.56
0.545,0.455
0.435,0.565
0.63,0.37
0.425,0.575
0.58,0.42
0.41,0.59
0.455,0.545
0.52,0.48
0.45,0.55
0.46,0.54
0.43,0.57
0.5,0.5
0.5,0.5
0.49,0.51
0.5,0.5
0.535,0.465
0.595,0.405
0.5,0.5
0.505,0.495
0.565,0.435
0.44,0.56
0.385,0.615
0.41,0.59
0.56,0.44
0.5,0.5
0.5,0.5
0.49,0.51
0.5,0.5
0.465,0.535
0.635,0.365
0.535,0.465
0.495,0.505
0.595,0.405
0.425,0.575
0.51,0.49
0.5,0.5
0.41,0.59
0.475,0.525
0.515,0.485
0.5,0.5
0.44,0.56
0.615,0.385
0.425,0.575
0.63,0.37
0.39,0.61
0.5,0.5
0.5,0.5
0.48,0.52
0.585,0.415
0.415,0.585
0.5,0.5
0.5,0.5
0.445,0.555
0.46,0.54
0.42,0.58
0.5,0.5
0.415,0.585
0.605,0.395
0.425,0.575
0.435,0.565
0.425,0.575
0.455,0.545
0.46,0.54
0.465,0.535
0.455,0.545
0.525,0.475
0.535,0.465
0.46,0.54
0.5,0.5
0.7,0.3
0.435,0.565
0.57,0.43
0.47,0.53
0.595,0.405
0.455,0.545
0.435,0.565
0.385,0.615
0.42,0.58
0.53,0.47
0.5,0.5
0.5,0.5
0.52,0.48
0.5,0.5
0.5,0.5
0.5,0.5
0.445,0.555
0.43,0.57
0.51,0.49
0.5,0.5
0.525,0.475
0.435,0.565
0.53,0.47
0.445,0.555
0.525,0.475
0.5,0.5
0.62,0.38
0.385,0.615
0.38,0.62
0.415,0.585
0.56,0.44
0.51,0.49
0.53,0.47
0.44,0.56
0.515,0.485
0.425,0.575
0.695,0.305
0.665,0.335
0.43,0.57
0.5,0.5
0.58,0.42
0.5,0.5
0.515,0.485
0.5,0.5
0.38,0.62
0.5,0.5
0.425,0.575
0.5,0.5
